EOLI,Scenario RP,Scenario RT,Scenario AP,Scenario AT
1.63,0.75,0.112795704,0.311941218,0.269866737
1.64,0.75,0.11000356,0.305555556,0.2639912
1.65,0.75,0.107198214,0.299080584,0.258050109
1.66,0.75,0.104379584,0.29251463,0.252042504
1.67,0.75,0.101547584,0.285855981,0.245967408
1.68,0.75,0.098702131,0.279102884,0.239823823
1.69,0.75,0.095843139,0.272253543,0.233610737
1.7,0.75,0.092970522,0.265306122,0.227327116
1.71,0.75,0.090084192,0.258258739,0.220971908
1.72,0.75,0.087184064,0.251109467,0.214544042
1.73,0.75,0.084270049,0.243856333,0.208042426
1.74,0.75,0.081342057,0.236497314,0.201465948
1.75,0.75,0.0784,0.229030339,0.194813476
1.76,0.75,0.075443787,0.221453287,0.188083856
1.77,0.75,0.072473327,0.213763984,0.181275911
1.78,0.75,0.069488529,0.2059602,0.174388443
1.79,0.75,0.0664893,0.198039652,0.167420231
1.8,0.75,0.063475546,0.19,0.16037003
1.81,0.75,0.060447175,0.181838842,0.153236573
1.82,0.75,0.057404091,0.173553719,0.146018565
1.83,0.75,0.054346199,0.165142106,0.13871469
1.84,0.75,0.051273402,0.156601416,0.131323603
1.85,0.75,0.048185604,0.147928994,0.123843935
1.86,0.75,0.045082706,0.139122117,0.11627429
1.87,0.75,0.041964611,0.130177991,0.108613243
1.88,0.75,0.038831219,0.12109375,0.100859342
1.89,0.75,0.035682429,0.111866451,0.093011107
1.9,0.75,0.03251814,0.102493075,0.085067028
1.91,0.75,0.029338251,0.092970522,0.077025563
1.92,0.75,0.026142659,0.083295609,0.068885142
1.93,0.75,0.022931261,0.073465069,0.060644162
1.94,0.75,0.019703951,0.063475546,0.052300987
1.95,0.75,0.016460624,0.053323594,0.043853949
1.96,0.75,0.013201175,0.043005671,0.035301346
1.97,0.75,0.009925497,0.03251814,0.026641441
1.98,0.75,0.006633481,0.021857264,0.017872461
1.99,0.75,0.003325018,0.0110192,0.008992596
