demand disruptions,RP_TPP,RT_TPP,AP_TPP,AT_TPP
-100,30,5.325443787,30,0.615672415
-99.99,30.05002083,5.334323225,30.05002083,0.6214661
-99.98,30.10008333,5.343210059,30.10008333,0.627267776
-99.97,30.1501875,5.35210429,30.1501875,0.633077444
-99.96,30.20033333,5.361005917,30.20033333,0.638895105
-99.95,30.25052083,5.369914941,30.25052083,0.644720757
-99.94,30.30075,5.378831361,30.30075,0.650554401
-99.93,30.35102083,5.387755178,30.35102083,0.656396037
-99.92,30.40133333,5.396686391,30.40133333,0.662245665
-99.91,30.4516875,5.405625,30.4516875,0.668103285
-99.9,30.50208333,5.414571006,30.50208333,0.673968897
-99.89,30.55252083,5.423524408,30.55252083,0.6798425
-99.88,30.603,5.432485207,30.603,0.685724096
-99.87,30.65352083,5.441453402,30.65352083,0.691613683
-99.86,30.70408333,5.450428994,30.70408333,0.697511263
-99.85,30.7546875,5.459411982,30.7546875,0.703416834
-99.84,30.80533333,5.468402367,30.80533333,0.709330397
-99.83,30.85602083,5.477400148,30.85602083,0.715251952
-99.82,30.90675,5.486405325,30.90675,0.721181499
-99.81,30.95752083,5.495417899,30.95752083,0.727119038
-99.8,31.00833333,5.50443787,31.00833333,0.733064569
-99.79,31.0591875,5.513465237,31.0591875,0.739018091
-99.78,31.11008333,5.5225,31.11008333,0.744979606
-99.77,31.16102083,5.53154216,31.16102083,0.750949112
-99.76,31.212,5.540591716,31.212,0.756926611
-99.75,31.26302083,5.549648669,31.26302083,0.762912101
-99.74,31.31408333,5.558713018,31.31408333,0.768905583
-99.73,31.3651875,5.567784763,31.3651875,0.774907057
-99.72,31.41633333,5.576863905,31.41633333,0.780916523
-99.71,31.46752083,5.585950444,31.46752083,0.786933981
-99.7,31.51875,5.595044379,31.51875,0.792959431
-99.69,31.57002083,5.60414571,31.57002083,0.798992872
-99.68,31.62133333,5.613254438,31.62133333,0.805034306
-99.67,31.6726875,5.622370562,31.6726875,0.811083731
-99.66,31.72408333,5.631494083,31.72408333,0.817141149
-99.65,31.77552083,5.640625,31.77552083,0.823206558
-99.64,31.827,5.649763314,31.827,0.829279959
-99.63,31.87852083,5.658909024,31.87852083,0.835361352
-99.62,31.93008333,5.66806213,31.93008333,0.841450737
-99.61,31.9816875,5.677222633,31.9816875,0.847548114
-99.6,32.03333333,5.686390533,32.03333333,0.853653483
-99.59,32.08502083,5.695565828,32.08502083,0.859766844
-99.58,32.13675,5.704748521,32.13675,0.865888196
-99.57,32.18852083,5.713938609,32.18852083,0.872017541
-99.56,32.24033333,5.723136095,32.24033333,0.878154877
-99.55,32.2921875,5.732340976,32.2921875,0.884300205
-99.54,32.34408333,5.741553254,32.34408333,0.890453526
-99.53,32.39602083,5.750772929,32.39602083,0.896614838
-99.52,32.448,5.76,32.448,0.902784142
-99.51,32.50002083,5.769234467,32.50002083,0.908961438
-99.5,32.55208333,5.778476331,32.55208333,0.915146725
-99.49,32.6041875,5.787725592,32.6041875,0.921340005
-99.48,32.65633333,5.796982249,32.65633333,0.927541277
-99.47,32.70852083,5.806246302,32.70852083,0.93375054
-99.46,32.76075,5.815517751,32.76075,0.939967796
-99.45,32.81302083,5.824796598,32.81302083,0.946193043
-99.44,32.86533333,5.83408284,32.86533333,0.952426282
-99.43,32.9176875,5.843376479,32.9176875,0.958667513
-99.42,32.97008333,5.852677515,32.97008333,0.964916736
-99.41,33.02252083,5.861985947,33.02252083,0.971173951
-99.4,33.075,5.871301775,33.075,0.977439158
-99.39,33.12752083,5.880625,33.12752083,0.983712357
-99.38,33.18008333,5.889955621,33.18008333,0.989993547
-99.37,33.2326875,5.899293639,33.2326875,0.99628273
-99.36,33.28533333,5.908639053,33.28533333,1.002579904
-99.35,33.33802083,5.917991864,33.33802083,1.008885071
-99.34,33.39075,5.927352071,33.39075,1.015198229
-99.33,33.44352083,5.936719675,33.44352083,1.021519379
-99.32,33.49633333,5.946094675,33.49633333,1.027848521
-99.31,33.5491875,5.955477071,33.5491875,1.034185655
-99.3,33.60208333,5.964866864,33.60208333,1.040530781
-99.29,33.65502083,5.974264053,33.65502083,1.046883898
-99.28,33.708,5.983668639,33.708,1.053245008
-99.27,33.76102083,5.993080621,33.76102083,1.05961411
-99.26,33.81408333,6.0025,33.81408333,1.065991203
-99.25,33.8671875,6.011926775,33.8671875,1.072376288
-99.24,33.92033333,6.021360947,33.92033333,1.078769366
-99.23,33.97352083,6.030802515,33.97352083,1.085170435
-99.22,34.02675,6.040251479,34.02675,1.091579496
-99.21,34.08002083,6.04970784,34.08002083,1.097996549
-99.2,34.13333333,6.059171598,34.13333333,1.104421594
-99.19,34.1866875,6.068642751,34.1866875,1.11085463
-99.18,34.24008333,6.078121302,34.24008333,1.117295659
-99.17,34.29352083,6.087607249,34.29352083,1.123744679
-99.16,34.347,6.097100592,34.347,1.130201692
-99.15,34.40052083,6.106601331,34.40052083,1.136666696
-99.14,34.45408333,6.116109467,34.45408333,1.143139693
-99.13,34.5076875,6.125625,34.5076875,1.149620681
-99.12,34.56133333,6.135147929,34.56133333,1.156109661
-99.11,34.61502083,6.144678254,34.61502083,1.162606633
-99.1,34.66875,6.154215976,34.66875,1.169111597
-99.09,34.72252083,6.163761095,34.72252083,1.175624552
-99.08,34.77633333,6.173313609,34.77633333,1.1821455
-99.07,34.8301875,6.182873521,34.8301875,1.18867444
-99.06,34.88408333,6.192440828,34.88408333,1.195211371
-99.05,34.93802083,6.202015533,34.93802083,1.201756294
-99.04,34.992,6.211597633,34.992,1.20830921
-99.03,35.04602083,6.22118713,35.04602083,1.214870117
-99.02,35.10008333,6.230784024,35.10008333,1.221439016
-99.01,35.1541875,6.240388314,35.1541875,1.228015907
-99,35.20833333,6.25,35.20833333,1.23460079
-98.99,35.26252083,6.259619083,35.26252083,1.241193664
-98.98,35.31675,6.269245562,35.31675,1.247794531
-98.97,35.37102083,6.278879438,35.37102083,1.25440339
-98.96,35.42533333,6.28852071,35.42533333,1.26102024
-98.95,35.4796875,6.298169379,35.4796875,1.267645083
-98.94,35.53408333,6.307825444,35.53408333,1.274277917
-98.93,35.58852083,6.317488905,35.58852083,1.280918743
-98.92,35.643,6.327159763,35.643,1.287567561
-98.91,35.69752083,6.336838018,35.69752083,1.294224371
-98.9,35.75208333,6.346523669,35.75208333,1.300889173
-98.89,35.8066875,6.356216716,35.8066875,1.307561967
-98.88,35.86133333,6.36591716,35.86133333,1.314242753
-98.87,35.91602083,6.375625,35.91602083,1.32093153
-98.86,35.97075,6.385340237,35.97075,1.3276283
-98.85,36.02552083,6.39506287,36.02552083,1.334333061
-98.84,36.08033333,6.404792899,36.08033333,1.341045814
-98.83,36.1351875,6.414530325,36.1351875,1.34776656
-98.82,36.19008333,6.424275148,36.19008333,1.354495297
-98.81,36.24502083,6.434027367,36.24502083,1.361232026
-98.8,36.3,6.443786982,36.3,1.367976747
-98.79,36.35502083,6.453553994,36.35502083,1.374729459
-98.78,36.41008333,6.463328402,36.41008333,1.381490164
-98.77,36.4651875,6.473110207,36.4651875,1.388258861
-98.76,36.52033333,6.482899408,36.52033333,1.395035549
-98.75,36.57552083,6.492696006,36.57552083,1.40182023
-98.74,36.63075,6.5025,36.63075,1.408612902
-98.73,36.68602083,6.512311391,36.68602083,1.415413566
-98.72,36.74133333,6.522130178,36.74133333,1.422222222
-98.71,36.7966875,6.531956361,36.7966875,1.42903887
-98.7,36.85208333,6.541789941,36.85208333,1.43586351
-98.69,36.90752083,6.551630917,36.90752083,1.442696142
-98.68,36.963,6.56147929,36.963,1.449536766
-98.67,37.01852083,6.571335059,37.01852083,1.456385381
-98.66,37.07408333,6.581198225,37.07408333,1.463241989
-98.65,37.1296875,6.591068787,37.1296875,1.470106588
-98.64,37.18533333,6.600946746,37.18533333,1.47697918
-98.63,37.24102083,6.610832101,37.24102083,1.483859763
-98.62,37.29675,6.620724852,37.29675,1.490748338
-98.61,37.35252083,6.630625,37.35252083,1.497644905
-98.6,37.40833333,6.640532544,37.40833333,1.504549464
-98.59,37.4641875,6.650447485,37.4641875,1.511462015
-98.58,37.52008333,6.660369822,37.52008333,1.518382558
-98.57,37.57602083,6.670299556,37.57602083,1.525311092
-98.56,37.632,6.680236686,37.632,1.532247619
-98.55,37.68802083,6.690181213,37.68802083,1.539192137
-98.54,37.74408333,6.700133136,37.74408333,1.546144647
-98.53,37.8001875,6.710092456,37.8001875,1.55310515
