demand disruptions,RP_TPP,RT_TPP,AP_TPP,AT_TPP
-100,90,7.438016529,36,1.94587639
-99.99,90.1500625,7.450418388,36.060025,1.954402741
-99.98,90.30025,7.462830579,36.1201,1.962939686
-99.97,90.4505625,7.475253099,36.180225,1.971487222
-99.96,90.601,7.48768595,36.2404,1.980045351
-99.95,90.7515625,7.500129132,36.300625,1.988614073
-99.94,90.90225,7.512582645,36.3609,1.997193387
-99.93,91.0530625,7.525046488,36.421225,2.005783294
-99.92,91.204,7.537520661,36.4816,2.014383793
-99.91,91.3550625,7.550005165,36.542025,2.022994884
-99.9,91.50625,7.5625,36.6025,2.031616568
-99.89,91.6575625,7.575005165,36.663025,2.040248845
-99.88,91.809,7.587520661,36.7236,2.048891714
-99.87,91.9605625,7.600046488,36.784225,2.057545175
-99.86,92.11225,7.612582645,36.8449,2.066209229
-99.85,92.2640625,7.625129132,36.905625,2.074883875
-99.84,92.416,7.63768595,36.9664,2.083569114
-99.83,92.5680625,7.650253099,37.027225,2.092264945
-99.82,92.72025,7.662830579,37.0881,2.100971369
-99.81,92.8725625,7.675418388,37.149025,2.109688385
-99.8,93.025,7.688016529,37.21,2.118415994
-99.79,93.1775625,7.700625,37.271025,2.127154195
-99.78,93.33025,7.713243802,37.3321,2.135902989
-99.77,93.4830625,7.725872934,37.393225,2.144662375
-99.76,93.636,7.738512397,37.4544,2.153432353
-99.75,93.7890625,7.75116219,37.515625,2.162212924
-99.74,93.94225,7.763822314,37.5769,2.171004088
-99.73,94.0955625,7.776492769,37.638225,2.179805844
-99.72,94.249,7.789173554,37.6996,2.188618192
-99.71,94.4025625,7.801864669,37.761025,2.197441133
-99.7,94.55625,7.814566116,37.8225,2.206274667
-99.69,94.7100625,7.827277893,37.884025,2.215118793
-99.68,94.864,7.84,37.9456,2.223973511
-99.67,95.0180625,7.852732438,38.007225,2.232838822
-99.66,95.17225,7.865475207,38.0689,2.241714725
-99.65,95.3265625,7.878228306,38.130625,2.250601221
-99.64,95.481,7.890991736,38.1924,2.259498309
-99.63,95.6355625,7.903765496,38.254225,2.26840599
-99.62,95.79025,7.916549587,38.3161,2.277324263
-99.61,95.9450625,7.929344008,38.378025,2.286253129
-99.6,96.1,7.94214876,38.44,2.295192587
-99.59,96.2550625,7.954963843,38.502025,2.304142637
-99.58,96.41025,7.967789256,38.5641,2.313103281
-99.57,96.5655625,7.980625,38.626225,2.322074516
-99.56,96.721,7.993471074,38.6884,2.331056344
-99.55,96.8765625,8.006327479,38.750625,2.340048765
-99.54,97.03225,8.019194215,38.8129,2.349051778
-99.53,97.1880625,8.032071281,38.875225,2.358065383
-99.52,97.344,8.044958678,38.9376,2.367089581
-99.51,97.5000625,8.057856405,39.000025,2.376124371
-99.5,97.65625,8.070764463,39.0625,2.385169754
-99.49,97.8125625,8.083682851,39.125025,2.39422573
-99.48,97.969,8.09661157,39.1876,2.403292297
-99.47,98.1255625,8.10955062,39.250225,2.412369458
-99.46,98.28225,8.1225,39.3129,2.42145721
-99.45,98.4390625,8.135459711,39.375625,2.430555556
-99.44,98.596,8.148429752,39.4384,2.439664493
-99.43,98.7530625,8.161410124,39.501225,2.448784023
-99.42,98.91025,8.174400826,39.5641,2.457914146
-99.41,99.0675625,8.18740186,39.627025,2.467054861
-99.4,99.225,8.200413223,39.69,2.476206169
-99.39,99.3825625,8.213434917,39.753025,2.485368069
-99.38,99.54025,8.226466942,39.8161,2.494540561
-99.37,99.6980625,8.239509298,39.879225,2.503723646
-99.36,99.856,8.252561983,39.9424,2.512917324
-99.35,100.0140625,8.265625,40.005625,2.522121594
-99.34,100.17225,8.278698347,40.0689,2.531336456
-99.33,100.3305625,8.291782025,40.132225,2.540561911
-99.32,100.489,8.304876033,40.1956,2.549797958
-99.31,100.6475625,8.317980372,40.259025,2.559044598
-99.3,100.80625,8.331095041,40.3225,2.568301831
-99.29,100.9650625,8.344220041,40.386025,2.577569655
-99.28,101.124,8.357355372,40.4496,2.586848073
-99.27,101.2830625,8.370501033,40.513225,2.596137082
-99.26,101.44225,8.383657025,40.5769,2.605436684
-99.25,101.6015625,8.396823347,40.640625,2.614746879
-99.24,101.761,8.41,40.7044,2.624067666
-99.23,101.9205625,8.423186983,40.768225,2.633399046
-99.22,102.08025,8.436384298,40.8321,2.642741018
-99.21,102.2400625,8.449591942,40.896025,2.652093583
-99.2,102.4,8.462809917,40.96,2.66145674
-99.19,102.5600625,8.476038223,41.024025,2.670830489
-99.18,102.72025,8.48927686,41.0881,2.680214831
-99.17,102.8805625,8.502525826,41.152225,2.689609765
-99.16,103.041,8.515785124,41.2164,2.699015292
-99.15,103.2015625,8.529054752,41.280625,2.708431412
-99.14,103.36225,8.542334711,41.3449,2.717858124
-99.13,103.5230625,8.555625,41.409225,2.727295428
-99.12,103.684,8.56892562,41.4736,2.736743325
-99.11,103.8450625,8.58223657,41.538025,2.746201814
-99.1,104.00625,8.595557851,41.6025,2.755670896
-99.09,104.1675625,8.608889463,41.667025,2.76515057
-99.08,104.329,8.622231405,41.7316,2.774640837
-99.07,104.4905625,8.635583678,41.796225,2.784141696
-99.06,104.65225,8.648946281,41.8609,2.793653148
-99.05,104.8140625,8.662319215,41.925625,2.803175192
-99.04,104.976,8.675702479,41.9904,2.812707828
-99.03,105.1380625,8.689096074,42.055225,2.822251057
-99.02,105.30025,8.7025,42.1201,2.831804879
-99.01,105.4625625,8.715914256,42.185025,2.841369293
-99,105.625,8.729338843,42.25,2.850944299
-98.99,105.7875625,8.74277376,42.315025,2.860529898
-98.98,105.95025,8.756219008,42.3801,2.87012609
-98.97,106.1130625,8.769674587,42.445225,2.879732874
-98.96,106.276,8.783140496,42.5104,2.88935025
-98.95,106.4390625,8.796616736,42.575625,2.898978219
-98.94,106.60225,8.810103306,42.6409,2.90861678
-98.93,106.7655625,8.823600207,42.706225,2.918265934
-98.92,106.929,8.837107438,42.7716,2.92792568
-98.91,107.0925625,8.850625,42.837025,2.937596019
-98.9,107.25625,8.864152893,42.9025,2.94727695
-98.89,107.4200625,8.877691116,42.968025,2.956968474
-98.88,107.584,8.891239669,43.0336,2.96667059
-98.87,107.7480625,8.904798554,43.099225,2.976383298
-98.86,107.91225,8.918367769,43.1649,2.9861066
-98.85,108.0765625,8.931947314,43.230625,2.995840493
-98.84,108.241,8.94553719,43.2964,3.005584979
-98.83,108.4055625,8.959137397,43.362225,3.015340058
-98.82,108.57025,8.972747934,43.4281,3.025105729
