demand disruptions,RP_TPP,RT_TPP,AP_TPP,AT_TPP
82.36,19882.681,1643.196777,7953.0724,1709.691864
82.37,19884.91056,1643.381038,7953.964225,1709.882193
82.38,19887.14025,1643.56531,7954.8561,1710.072533
82.39,19889.37006,1643.749592,7955.748025,1710.262883
82.4,19891.6,1643.933884,7956.64,1710.453244
82.41,19893.83006,1644.118187,7957.532025,1710.643616
82.42,19896.06025,1644.3025,7958.4241,1710.833998
82.43,19898.29056,1644.486823,7959.316225,1711.024391
82.44,19900.521,1644.671157,7960.2084,1711.214795
82.45,19902.75156,1644.855501,7961.100625,1711.405209
82.46,19904.98225,1645.039855,7961.9929,1711.595633
82.47,19907.21306,1645.22422,7962.885225,1711.786068
82.48,19909.444,1645.408595,7963.7776,1711.976514
82.49,19911.67506,1645.59298,7964.670025,1712.166971
82.5,19913.90625,1645.777376,7965.5625,1712.357438
82.51,19916.13756,1645.961782,7966.455025,1712.547915
82.52,19918.369,1646.146198,7967.3476,1712.738403
82.53,19920.60056,1646.330625,7968.240225,1712.928902
82.54,19922.83225,1646.515062,7969.1329,1713.119411
82.55,19925.06406,1646.699509,7970.025625,1713.309931
82.56,19927.296,1646.883967,7970.9184,1713.500462
82.57,19929.52806,1647.068435,7971.811225,1713.691003
82.58,19931.76025,1647.252913,7972.7041,1713.881555
82.59,19933.99256,1647.437402,7973.597025,1714.072117
82.6,19936.225,1647.621901,7974.49,1714.26269
82.61,19938.45756,1647.80641,7975.383025,1714.453273
82.62,19940.69025,1647.99093,7976.2761,1714.643867
82.63,19942.92306,1648.17546,7977.169225,1714.834472
82.64,19945.156,1648.36,7978.0624,1715.025087
82.65,19947.38906,1648.544551,7978.955625,1715.215713
82.66,19949.62225,1648.729112,7979.8489,1715.40635
82.67,19951.85556,1648.913683,7980.742225,1715.596997
82.68,19954.089,1649.098264,7981.6356,1715.787654
82.69,19956.32256,1649.282856,7982.529025,1715.978323
82.7,19958.55625,1649.467459,7983.4225,1716.169001
82.71,19960.79006,1649.652071,7984.316025,1716.359691
82.72,19963.024,1649.836694,7985.2096,1716.550391
82.73,19965.25806,1650.021327,7986.103225,1716.741101
82.74,19967.49225,1650.205971,7986.9969,1716.931823
82.75,19969.72656,1650.390625,7987.890625,1717.122554
82.76,19971.961,1650.575289,7988.7844,1717.313297
82.77,19974.19556,1650.759964,7989.678225,1717.50405
82.78,19976.43025,1650.944649,7990.5721,1717.694813
82.79,19978.66506,1651.129344,7991.466025,1717.885587
82.8,19980.9,1651.31405,7992.36,1718.076372
82.81,19983.13506,1651.498765,7993.254025,1718.267168
82.82,19985.37025,1651.683492,7994.1481,1718.457973
82.83,19987.60556,1651.868228,7995.042225,1718.64879
82.84,19989.841,1652.052975,7995.9364,1718.839617
82.85,19992.07656,1652.237732,7996.830625,1719.030455
82.86,19994.31225,1652.4225,7997.7249,1719.221303
82.87,19996.54806,1652.607278,7998.619225,1719.412162
82.88,19998.784,1652.792066,7999.5136,1719.603031
82.89,20001.02006,1652.976865,8000.408025,1719.793912
82.9,20003.25625,1653.161674,8001.3025,1719.984802
82.91,20005.49256,1653.346493,8002.197025,1720.175703
82.92,20007.729,1653.531322,8003.0916,1720.366615
82.93,20009.96556,1653.716162,8003.986225,1720.557538
82.94,20012.20225,1653.901012,8004.8809,1720.748471
82.95,20014.43906,1654.085873,8005.775625,1720.939414
82.96,20016.676,1654.270744,8006.6704,1721.130369
82.97,20018.91306,1654.455625,8007.565225,1721.321333
82.98,20021.15025,1654.640517,8008.4601,1721.512309
82.99,20023.38756,1654.825418,8009.355025,1721.703295
83,20025.625,1655.010331,8010.25,1721.894291
83.01,20027.86256,1655.195253,8011.145025,1722.085299
83.02,20030.10025,1655.380186,8012.0401,1722.276316
83.03,20032.33806,1655.565129,8012.935225,1722.467345
83.04,20034.576,1655.750083,8013.8304,1722.658384
83.05,20036.81406,1655.935046,8014.725625,1722.849433
83.06,20039.05225,1656.120021,8015.6209,1723.040493
83.07,20041.29056,1656.305005,8016.516225,1723.231564
83.08,20043.529,1656.49,8017.4116,1723.422646
83.09,20045.76756,1656.675005,8018.307025,1723.613738
83.1,20048.00625,1656.860021,8019.2025,1723.80484
83.11,20050.24506,1657.045046,8020.098025,1723.995953
83.12,20052.484,1657.230083,8020.9936,1724.187077
83.13,20054.72306,1657.415129,8021.889225,1724.378211
83.14,20056.96225,1657.600186,8022.7849,1724.569356
83.15,20059.20156,1657.785253,8023.680625,1724.760512
83.16,20061.441,1657.970331,8024.5764,1724.951678
83.17,20063.68056,1658.155418,8025.472225,1725.142854
83.18,20065.92025,1658.340517,8026.3681,1725.334042
83.19,20068.16006,1658.525625,8027.264025,1725.525239
83.2,20070.4,1658.710744,8028.16,1725.716448
83.21,20072.64006,1658.895873,8029.056025,1725.907667
83.22,20074.88025,1659.081012,8029.9521,1726.098896
83.23,20077.12056,1659.266162,8030.848225,1726.290137
83.24,20079.361,1659.451322,8031.7444,1726.481388
83.25,20081.60156,1659.636493,8032.640625,1726.672649
83.26,20083.84225,1659.821674,8033.5369,1726.863921
83.27,20086.08306,1660.006865,8034.433225,1727.055203
83.28,20088.324,1660.192066,8035.3296,1727.246497
83.29,20090.56506,1660.377278,8036.226025,1727.4378
83.3,20092.80625,1660.5625,8037.1225,1727.629115
83.31,20095.04756,1660.747732,8038.019025,1727.82044
83.32,20097.289,1660.932975,8038.9156,1728.011775
83.33,20099.53056,1661.118228,8039.812225,1728.203121
83.34,20101.77225,1661.303492,8040.7089,1728.394478
83.35,20104.01406,1661.488765,8041.605625,1728.585846
83.36,20106.256,1661.67405,8042.5024,1728.777223
83.37,20108.49806,1661.859344,8043.399225,1728.968612
83.38,20110.74025,1662.044649,8044.2961,1729.160011
83.39,20112.98256,1662.229964,8045.193025,1729.351421
83.4,20115.225,1662.415289,8046.09,1729.542841
83.41,20117.46756,1662.600625,8046.987025,1729.734272
83.42,20119.71025,1662.785971,8047.8841,1729.925713
83.43,20121.95306,1662.971327,8048.781225,1730.117166
83.44,20124.196,1663.156694,8049.6784,1730.308628
83.45,20126.43906,1663.342071,8050.575625,1730.500101
83.46,20128.68225,1663.527459,8051.4729,1730.691585
83.47,20130.92556,1663.712856,8052.370225,1730.88308
83.48,20133.169,1663.898264,8053.2676,1731.074585
83.49,20135.41256,1664.083683,8054.165025,1731.2661
83.5,20137.65625,1664.269112,8055.0625,1731.457627
83.51,20139.90006,1664.454551,8055.960025,1731.649163
83.52,20142.144,1664.64,8056.8576,1731.840711
83.53,20144.38806,1664.82546,8057.755225,1732.032269
83.54,20146.63225,1665.01093,8058.6529,1732.223837
83.55,20148.87656,1665.19641,8059.550625,1732.415417
83.56,20151.121,1665.381901,8060.4484,1732.607006
83.57,20153.36556,1665.567402,8061.346225,1732.798607
83.58,20155.61025,1665.752913,8062.2441,1732.990218
