demand disruptions,RP_TPP,RT_TPP,AP_TPP,AT_TPP
-100,3.333333333,0.591715976,3.333333333,0.068408046
-99.99,3.350020833,0.594678254,3.350020833,0.070341938
-99.98,3.36675,0.597647929,3.36675,0.072283822
-99.97,3.383520833,0.600625,3.383520833,0.074233698
-99.96,3.400333333,0.603609467,3.400333333,0.076191566
-99.95,3.4171875,0.606601331,3.4171875,0.078157426
-99.94,3.434083333,0.609600592,3.434083333,0.080131278
-99.93,3.451020833,0.612607249,3.451020833,0.082113121
-99.92,3.468,0.615621302,3.468,0.084102957
-99.91,3.485020833,0.618642751,3.485020833,0.086100784
-99.9,3.502083333,0.621671598,3.502083333,0.088106603
-99.89,3.5191875,0.62470784,3.5191875,0.090120415
-99.88,3.536333333,0.627751479,3.536333333,0.092142218
-99.87,3.553520833,0.630802515,3.553520833,0.094172013
-99.86,3.57075,0.633860947,3.57075,0.0962098
-99.85,3.588020833,0.636926775,3.588020833,0.098255578
-99.84,3.605333333,0.64,3.605333333,0.100309349
-99.83,3.6226875,0.643080621,3.6226875,0.102371112
-99.82,3.640083333,0.646168639,3.640083333,0.104440866
-99.81,3.657520833,0.649264053,3.657520833,0.106518613
-99.8,3.675,0.652366864,3.675,0.108604351
-99.79,3.692520833,0.655477071,3.692520833,0.110698081
-99.78,3.710083333,0.658594675,3.710083333,0.112799803
-99.77,3.7276875,0.661719675,3.7276875,0.114909517
-99.76,3.745333333,0.664852071,3.745333333,0.117027223
-99.75,3.763020833,0.667991864,3.763020833,0.119152921
-99.74,3.78075,0.671139053,3.78075,0.121286611
-99.73,3.798520833,0.674293639,3.798520833,0.123428292
-99.72,3.816333333,0.677455621,3.816333333,0.125577966
-99.71,3.8341875,0.680625,3.8341875,0.127735631
-99.7,3.852083333,0.683801775,3.852083333,0.129901289
-99.69,3.870020833,0.686985947,3.870020833,0.132074938
-99.68,3.888,0.690177515,3.888,0.134256579
-99.67,3.906020833,0.693376479,3.906020833,0.136446212
-99.66,3.924083333,0.69658284,3.924083333,0.138643837
-99.65,3.9421875,0.699796598,3.9421875,0.140849454
-99.64,3.960333333,0.703017751,3.960333333,0.143063062
-99.63,3.978520833,0.706246302,3.978520833,0.145284663
-99.62,3.99675,0.709482249,3.99675,0.147514256
-99.61,4.015020833,0.712725592,4.015020833,0.14975184
-99.6,4.033333333,0.715976331,4.033333333,0.151997416
-99.59,4.0516875,0.719234467,4.0516875,0.154250985
-99.58,4.070083333,0.7225,4.070083333,0.156512545
-99.57,4.088520833,0.725772929,4.088520833,0.158782097
-99.56,4.107,0.729053254,4.107,0.161059641
-99.55,4.125520833,0.732340976,4.125520833,0.163345176
-99.54,4.144083333,0.735636095,4.144083333,0.165638704
-99.53,4.1626875,0.738938609,4.1626875,0.167940224
-99.52,4.181333333,0.742248521,4.181333333,0.170249735
-99.51,4.200020833,0.745565828,4.200020833,0.172567239
-99.5,4.21875,0.748890533,4.21875,0.174892734
-99.49,4.237520833,0.752222633,4.237520833,0.177226221
-99.48,4.256333333,0.75556213,4.256333333,0.179567701
-99.47,4.2751875,0.758909024,4.2751875,0.181917172
-99.46,4.294083333,0.762263314,4.294083333,0.184274635
-99.45,4.313020833,0.765625,4.313020833,0.186640089
-99.44,4.332,0.768994083,4.332,0.189013536
-99.43,4.351020833,0.772370562,4.351020833,0.191394975
-99.42,4.370083333,0.775754438,4.370083333,0.193784405
-99.41,4.3891875,0.77914571,4.3891875,0.196181828
-99.4,4.408333333,0.782544379,4.408333333,0.198587242
-99.39,4.427520833,0.785950444,4.427520833,0.201000649
-99.38,4.44675,0.789363905,4.44675,0.203422047
-99.37,4.466020833,0.792784763,4.466020833,0.205851437
-99.36,4.485333333,0.796213018,4.485333333,0.208288819
-99.35,4.5046875,0.799648669,4.5046875,0.210734193
-99.34,4.524083333,0.803091716,4.524083333,0.213187558
-99.33,4.543520833,0.80654216,4.543520833,0.215648916
-99.32,4.563,0.81,4.563,0.218118266
-99.31,4.582520833,0.813465237,4.582520833,0.220595607
-99.3,4.602083333,0.81693787,4.602083333,0.223080941
-99.29,4.6216875,0.820417899,4.6216875,0.225574266
-99.28,4.641333333,0.823905325,4.641333333,0.228075583
-99.27,4.661020833,0.827400148,4.661020833,0.230584892
-99.26,4.68075,0.830902367,4.68075,0.233102193
-99.25,4.700520833,0.834411982,4.700520833,0.235627486
-99.24,4.720333333,0.837928994,4.720333333,0.238160771
-99.23,4.7401875,0.841453402,4.7401875,0.240702047
-99.22,4.760083333,0.844985207,4.760083333,0.243251316
-99.21,4.780020833,0.848524408,4.780020833,0.245808577
-99.2,4.8,0.852071006,4.8,0.248373829
-99.19,4.820020833,0.855625,4.820020833,0.250947073
-99.18,4.840083333,0.859186391,4.840083333,0.253528309
-99.17,4.8601875,0.862755178,4.8601875,0.256117538
-99.16,4.880333333,0.866331361,4.880333333,0.258714758
-99.15,4.900520833,0.869914941,4.900520833,0.261319969
-99.14,4.92075,0.873505917,4.92075,0.263933173
-99.13,4.941020833,0.87710429,4.941020833,0.266554369
-99.12,4.961333333,0.880710059,4.961333333,0.269183557
-99.11,4.9816875,0.884323225,4.9816875,0.271820736
-99.1,5.002083333,0.887943787,5.002083333,0.274465907
-99.09,5.022520833,0.891571746,5.022520833,0.277119071
-99.08,5.043,0.895207101,5.043,0.279780226
-99.07,5.063520833,0.898849852,5.063520833,0.282449373
-99.06,5.084083333,0.9025,5.084083333,0.285126512
-99.05,5.1046875,0.906157544,5.1046875,0.287811643
-99.04,5.125333333,0.909822485,5.125333333,0.290504766
-99.03,5.146020833,0.913494822,5.146020833,0.293205881
-99.02,5.16675,0.917174556,5.16675,0.295914987
-99.01,5.187520833,0.920861686,5.187520833,0.298632086
-99,5.208333333,0.924556213,5.208333333,0.301357176
-98.99,5.2291875,0.928258136,5.2291875,0.304090258
-98.98,5.250083333,0.931967456,5.250083333,0.306831333
-98.97,5.271020833,0.935684172,5.271020833,0.309580399
-98.96,5.292,0.939408284,5.292,0.312337457
-98.95,5.313020833,0.943139793,5.313020833,0.315102507
-98.94,5.334083333,0.946878698,5.334083333,0.317875549
-98.93,5.3551875,0.950625,5.3551875,0.320656582
-98.92,5.376333333,0.954378698,5.376333333,0.323445608
-98.91,5.397520833,0.958139793,5.397520833,0.326242626
-98.9,5.41875,0.961908284,5.41875,0.329047635
-98.89,5.440020833,0.965684172,5.440020833,0.331860636
-98.88,5.461333333,0.969467456,5.461333333,0.33468163
-98.87,5.4826875,0.973258136,5.4826875,0.337510615
-98.86,5.504083333,0.977056213,5.504083333,0.340347592
-98.85,5.525520833,0.980861686,5.525520833,0.343192561
-98.84,5.547,0.984674556,5.547,0.346045522
-98.83,5.568520833,0.988494822,5.568520833,0.348906474
-98.82,5.590083333,0.992322485,5.590083333,0.351775419
-98.81,5.6116875,0.996157544,5.6116875,0.354652356
-98.8,5.633333333,1,5.633333333,0.357537284
-98.79,5.655020833,1.003849852,5.655020833,0.360430204
-98.78,5.67675,1.007707101,5.67675,0.363331117
-98.77,5.698520833,1.011571746,5.698520833,0.366240021
-98.76,5.720333333,1.015443787,5.720333333,0.369156917
-98.75,5.7421875,1.019323225,5.7421875,0.372081805
-98.74,5.764083333,1.023210059,5.764083333,0.375014685
-98.73,5.786020833,1.02710429,5.786020833,0.377955556
-98.72,5.808,1.031005917,5.808,0.38090442
-98.71,5.830020833,1.034914941,5.830020833,0.383861276
-98.7,5.852083333,1.038831361,5.852083333,0.386826123
-98.69,5.8741875,1.042755178,5.8741875,0.389798963
-98.68,5.896333333,1.046686391,5.896333333,0.392779794
-98.67,5.918520833,1.050625,5.918520833,0.395768617
-98.66,5.94075,1.054571006,5.94075,0.398765432
-98.65,5.963020833,1.058524408,5.963020833,0.401770239
-98.64,5.985333333,1.062485207,5.985333333,0.404783038
-98.63,6.0076875,1.066453402,6.0076875,0.407803829
-98.62,6.030083333,1.070428994,6.030083333,0.410832611
-98.61,6.052520833,1.074411982,6.052520833,0.413869386
-98.6,6.075,1.078402367,6.075,0.416914153
-98.59,6.097520833,1.082400148,6.097520833,0.419966911
-98.58,6.120083333,1.086405325,6.120083333,0.423027661
-98.57,6.1426875,1.090417899,6.1426875,0.426096403
-98.56,6.165333333,1.09443787,6.165333333,0.429173137
-98.55,6.188020833,1.098465237,6.188020833,0.432257863
-98.54,6.21075,1.1025,6.21075,0.435350581
-98.53,6.233520833,1.10654216,6.233520833,0.438451291
-98.52,6.256333333,1.110591716,6.256333333,0.441559993
-98.51,6.2791875,1.114648669,6.2791875,0.444676686
-98.5,6.302083333,1.118713018,6.302083333,0.447801372
-98.49,6.325020833,1.122784763,6.325020833,0.450934049
-98.48,6.348,1.126863905,6.348,0.454074719
-98.47,6.371020833,1.130950444,6.371020833,0.45722338
-98.46,6.394083333,1.135044379,6.394083333,0.460380033
-98.45,6.4171875,1.13914571,6.4171875,0.463544678
-98.44,6.440333333,1.143254438,6.440333333,0.466717315
-98.43,6.463520833,1.147370562,6.463520833,0.469897944
-98.42,6.48675,1.151494083,6.48675,0.473086564
-98.41,6.510020833,1.155625,6.510020833,0.476283177
-98.4,6.533333333,1.159763314,6.533333333,0.479487782
-98.39,6.5566875,1.163909024,6.5566875,0.482700378
-98.38,6.580083333,1.16806213,6.580083333,0.485920966
-98.37,6.603520833,1.172222633,6.603520833,0.489149547
-98.36,6.627,1.176390533,6.627,0.492386119
-98.35,6.650520833,1.180565828,6.650520833,0.495630683
-98.34,6.674083333,1.184748521,6.674083333,0.498883239
-98.33,6.6976875,1.188938609,6.6976875,0.502143786
-98.32,6.721333333,1.193136095,6.721333333,0.505412326
-98.31,6.745020833,1.197340976,6.745020833,0.508688858
-98.3,6.76875,1.201553254,6.76875,0.511973381
-98.29,6.792520833,1.205772929,6.792520833,0.515265897
-98.28,6.816333333,1.21,6.816333333,0.518566404
-98.27,6.8401875,1.214234467,6.8401875,0.521874903
-98.26,6.864083333,1.218476331,6.864083333,0.525191395
-98.25,6.888020833,1.222725592,6.888020833,0.528515878
-98.24,6.912,1.226982249,6.912,0.531848353
-98.23,6.936020833,1.231246302,6.936020833,0.535188819
-98.22,6.960083333,1.235517751,6.960083333,0.538537278
-98.21,6.9841875,1.239796598,6.9841875,0.541893729
-98.2,7.008333333,1.24408284,7.008333333,0.545258171
-98.19,7.032520833,1.248376479,7.032520833,0.548630606
-98.18,7.05675,1.252677515,7.05675,0.552011032
-98.17,7.081020833,1.256985947,7.081020833,0.55539945
-98.16,7.105333333,1.261301775,7.105333333,0.558795861
-98.15,7.1296875,1.265625,7.1296875,0.562200263
-98.14,7.154083333,1.269955621,7.154083333,0.565612657
-98.13,7.178520833,1.274293639,7.178520833,0.569033042
-98.12,7.203,1.278639053,7.203,0.57246142
-98.11,7.227520833,1.282991864,7.227520833,0.57589779
-98.1,7.252083333,1.287352071,7.252083333,0.579342151
-98.09,7.2766875,1.291719675,7.2766875,0.582794505
-98.08,7.301333333,1.296094675,7.301333333,0.58625485
-98.07,7.326020833,1.300477071,7.326020833,0.589723187
-98.06,7.35075,1.304866864,7.35075,0.593199517
-98.05,7.375520833,1.309264053,7.375520833,0.596683838
-98.04,7.400333333,1.313668639,7.400333333,0.600176151
-98.03,7.4251875,1.318080621,7.4251875,0.603676456
-98.02,7.450083333,1.3225,7.450083333,0.607184752
-98.01,7.475020833,1.326926775,7.475020833,0.610701041
-98,7.5,1.331360947,7.5,0.614225322
-97.99,7.525020833,1.335802515,7.525020833,0.617757594
-97.98,7.550083333,1.340251479,7.550083333,0.621297858
-97.97,7.5751875,1.34470784,7.5751875,0.624846115
-97.96,7.600333333,1.349171598,7.600333333,0.628402363
-97.95,7.625520833,1.353642751,7.625520833,0.631966603
-97.94,7.65075,1.358121302,7.65075,0.635538835
-97.93,7.676020833,1.362607249,7.676020833,0.639119059
-97.92,7.701333333,1.367100592,7.701333333,0.642707275
-97.91,7.7266875,1.371601331,7.7266875,0.646303482
-97.9,7.752083333,1.376109467,7.752083333,0.649907682
-97.89,7.777520833,1.380625,7.777520833,0.653519874
-97.88,7.803,1.385147929,7.803,0.657140057
-97.87,7.828520833,1.389678254,7.828520833,0.660768232
-97.86,7.854083333,1.394215976,7.854083333,0.664404399
-97.85,7.8796875,1.398761095,7.8796875,0.668048559
-97.84,7.905333333,1.403313609,7.905333333,0.67170071
-97.83,7.931020833,1.407873521,7.931020833,0.675360852
-97.82,7.95675,1.412440828,7.95675,0.679028987
-97.81,7.982520833,1.417015533,7.982520833,0.682705114
-97.8,8.008333333,1.421597633,8.008333333,0.686389233
-97.79,8.0341875,1.42618713,8.0341875,0.690081343
-97.78,8.060083333,1.430784024,8.060083333,0.693781446
-97.77,8.086020833,1.435388314,8.086020833,0.69748954
-97.76,8.112,1.44,8.112,0.701205626
