EOLI,RP_TPP,RT_TPP,AP_TPP,AT_TPP,RP_TPS,RT_TPS,AP_TPS,AT_TPS
0.69,954.1984733,187.1394058,1607.717042,262.7512986,1908.396947,374.2788115,930.5114711,788.2538959
0.7,961.5384615,187.6524676,1612.903226,264.156592,1923.076923,375.3049353,936.5244537,792.4697761
0.71,968.9922481,188.1676423,1618.122977,265.5731897,1937.984496,376.3352846,942.5959091,796.7195691
0.72,976.5625,188.6849414,1623.376623,267.0012133,1953.125,377.3698829,948.7265981,801.0036398
0.73,984.2519685,189.2043767,1628.664495,268.4407859,1968.503937,378.4087534,954.9172936,805.3223576
0.74,992.0634921,189.7259598,1633.986928,269.8920324,1984.126984,379.4519196,961.1687812,809.6760972
0.75,1000,190.2497027,1639.344262,271.3550794,2000,380.4994055,967.4818597,814.0652383
0.76,1008.064516,190.7756173,1644.736842,272.8300552,2016.129032,381.5512347,973.8573407,818.4901657
0.77,1016.260163,191.3037157,1650.165017,274.3170899,2032.520325,382.6074314,980.2960494,822.9512697
0.78,1024.590164,191.8340099,1655.629139,275.8163152,2049.180328,383.6680197,986.7988246,827.4489455
0.79,1033.057851,192.3665121,1661.129568,277.3278647,2066.115702,384.7330241,993.3665191,831.983594
0.8,1041.666667,192.9012346,1666.666667,278.8518739,2083.333333,385.8024691,1000,836.5556217
0.81,1050.420168,193.4381897,1672.240803,280.3884801,2100.840336,386.8763795,1006.700149,841.1654403
0.82,1059.322034,193.97739,1677.852349,281.9378226,2118.644068,387.95478,1013.467862,845.8134677
0.83,1068.376068,194.5188479,1683.501684,283.5000424,2136.752137,389.0376958,1020.304051,850.5001271
0.84,1077.586207,195.0625761,1689.189189,285.0752827,2155.172414,390.1251521,1027.209642,855.225848
0.85,1086.956522,195.6085872,1694.915254,286.6636885,2173.913043,391.2171744,1034.185579,859.9910656
0.86,1096.491228,196.1568941,1700.680272,288.2654071,2192.982456,392.3137883,1041.23282,864.7962213
0.87,1106.19469,196.7075097,1706.484642,289.8805876,2212.389381,393.4150194,1048.35234,869.6417627
0.88,1116.071429,197.2604469,1712.328767,291.5093812,2232.142857,394.5208938,1055.54513,874.5281435
0.89,1126.126126,197.8157188,1718.213058,293.1519413,2252.252252,395.6314377,1062.812201,879.455824
0.9,1136.363636,198.3733386,1724.137931,294.8084237,2272.727273,396.7466772,1070.154578,884.425271
0.91,1146.788991,198.9333195,1730.103806,296.4789859,2293.577982,397.8666391,1077.573305,889.4369577
0.92,1157.407407,199.4956749,1736.111111,298.1637881,2314.814815,398.9913499,1085.069444,894.4913644
0.93,1168.224299,200.0604182,1742.160279,299.8629926,2336.448598,400.1208365,1092.644077,899.5889778
0.94,1179.245283,200.627563,1748.251748,301.576764,2358.490566,401.255126,1100.298303,904.7302919
0.95,1190.47619,201.1971229,1754.385965,303.3052692,2380.952381,402.3942458,1108.033241,909.9158075
0.96,1201.923077,201.7691116,1760.56338,305.0486776,2403.846154,403.5382231,1115.85003,915.1460329
0.97,1213.592233,202.3435429,1766.784452,306.8071612,2427.184466,404.6870858,1123.749828,920.4214835
0.98,1225.490196,202.9204308,1773.049645,308.5808941,2450.980392,405.8408617,1131.733816,925.7426822
0.99,1237.623762,203.4997894,1779.359431,310.3700532,2475.247525,406.9995788,1139.803194,931.1101595
1,1250,204.0816327,1785.714286,312.1748179,2500,408.1632653,1147.959184,936.5244537
1.01,1262.626263,204.6659749,1792.114695,313.9953702,2525.252525,409.3319498,1156.203029,941.9861107
1.02,1275.510204,205.2528304,1798.561151,315.8318949,2551.020408,410.5056609,1164.535997,947.4956847
1.03,1288.659794,205.8422137,1805.054152,317.6845792,2577.319588,411.6844274,1172.959377,953.0537377
1.04,1302.083333,206.4341393,1811.594203,319.5536134,2604.166667,412.8682785,1181.47448,958.6608403
1.05,1315.789474,207.0286217,1818.181818,321.4391904,2631.578947,414.0572434,1190.082645,964.3175712
1.06,1329.787234,207.6256758,1824.817518,323.341506,2659.574468,415.2513516,1198.785231,970.0245179
1.07,1344.086022,208.2253165,1831.501832,325.2607588,2688.172043,416.4506329,1207.583625,975.7822765
1.08,1358.695652,208.8275586,1838.235294,327.1971507,2717.391304,417.6551171,1216.479239,981.591452
1.09,1373.626374,209.4324172,1845.01845,329.1508862,2747.252747,418.8648344,1225.473509,987.4526585
1.1,1388.888889,210.0399076,1851.851852,331.122173,2777.777778,420.0798152,1234.567901,993.3665191
1.11,1404.494382,210.650045,1858.736059,333.1112222,2808.988764,421.3000899,1243.763906,999.3336665
1.12,1420.454545,211.2628448,1865.671642,335.1182476,2840.909091,422.5256896,1253.063043,1005.354743
1.13,1436.781609,211.8783225,1872.659176,337.1434666,2873.563218,423.756645,1262.46686,1011.4304
1.14,1453.488372,212.4964938,1879.699248,339.1870997,2906.976744,424.9929876,1271.976935,1017.561299
1.15,1470.588235,213.1173744,1886.792453,341.2493708,2941.176471,426.2347488,1281.594874,1023.748112
1.16,1488.095238,213.7409801,1893.939394,343.3305073,2976.190476,427.4819603,1291.322314,1029.991522
1.17,1506.024096,214.367327,1901.140684,345.43074,3012.048193,428.734654,1301.160925,1036.29222
1.18,1524.390244,214.9964311,1908.396947,347.5503033,3048.780488,429.9928621,1311.112406,1042.65091
1.19,1543.209877,215.6283085,1915.708812,349.689435,3086.419753,431.2566171,1321.178491,1049.068305
1.2,1562.5,216.2629758,1923.076923,351.8483768,3125,432.5259516,1331.360947,1055.54513
1.21,1582.278481,216.9004492,1930.501931,354.0273741,3164.556962,433.8008984,1341.661573,1062.082122
