,0,1,2,3,4
0,-100.0,-939.9999999999999,-167.97202797202803,-477.50000000000006,-416.6444669401673
1,-99.99,-939.8999583333328,-167.94894143356638,-477.46248437500003,-416.6124873461556
2,-99.97999999999999,-939.799833333333,-167.92583566433555,-477.4249375,-416.58048377643945
3,-99.96999999999998,-939.699624999999,-167.90271066433536,-477.387359375,-416.54845623101903
4,-99.95999999999998,-939.5993333333322,-167.8795664335662,-477.34975,-416.5164047098939
5,-99.94999999999997,-939.4989583333335,-167.85640297202806,-477.312109375,-416.48432921306363
6,-99.93999999999997,-939.3984999999997,-167.83322027972017,-477.2744374999999,-416.4522297405291
7,-99.92999999999996,-939.2979583333331,-167.81001835664327,-477.2367343749999,-416.42010629229037
8,-99.91999999999996,-939.1973333333331,-167.78679720279723,-477.19899999999984,-416.3879588683461
9,-99.90999999999995,-939.0966249999996,-167.7635568181818,-477.1612343749998,-416.35578746869794
10,-99.89999999999995,-938.9958333333325,-167.740297202797,-477.1234374999998,-416.32359209334504
11,-99.88999999999994,-938.8949583333319,-167.71701835664302,-477.0856093749998,-416.29137274228754
12,-99.87999999999994,-938.7940000000002,-167.6937202797203,-477.0477499999998,-416.2591294155249
13,-99.86999999999993,-938.6929583333334,-167.670402972028,-477.0098593749998,-416.2268621130582
14,-99.85999999999993,-938.591833333333,-167.6470664335663,-476.9719374999998,-416.194570834887
15,-99.84999999999992,-938.4906249999993,-167.62371066433542,-476.93398437499974,-416.1622555810105
16,-99.83999999999992,-938.389333333332,-167.6003356643354,-476.8959999999997,-416.1299163514301
17,-99.82999999999991,-938.287958333332,-167.5769414335662,-476.8579843749997,-416.0975531461447
18,-99.81999999999991,-938.1864999999984,-167.5535279720276,-476.81993749999964,-416.06516596515513
19,-99.8099999999999,-938.0849583333314,-167.53009527971986,-476.78185937499967,-416.03275480846
20,-99.7999999999999,-937.9833333333316,-167.50664335664294,-476.7437499999996,-416.0003196760611
21,-99.78999999999989,-937.8816249999991,-167.48317220279705,-476.7056093749996,-415.9678605679574
22,-99.77999999999989,-937.7798333333322,-167.4596818181816,-476.66743749999955,-415.935377484149
23,-99.76999999999988,-937.677958333332,-167.43617220279694,-476.62923437499956,-415.9028704246356
24,-99.75999999999988,-937.575999999999,-167.41264335664314,-476.5909999999996,-415.87033938941823
25,-99.74999999999987,-937.4739583333317,-167.38909527971995,-476.5527343749996,-415.83778437849617
26,-99.73999999999987,-937.3718333333317,-167.3655279720276,-476.51443749999953,-415.80520539186887
27,-99.72999999999986,-937.2696249999981,-167.34194143356606,-476.4761093749995,-415.77260242953747
28,-99.71999999999986,-937.1673333333325,-167.31833566433556,-476.4377499999995,-415.73997549150124
29,-99.70999999999985,-937.064958333332,-167.2947106643353,-476.39935937499945,-415.70732457776074
30,-99.69999999999985,-936.9624999999987,-167.27106643356603,-476.36093749999947,-415.6746496883151
31,-99.68999999999984,-936.859958333332,-167.24740297202763,-476.3224843749994,-415.6419508231651
32,-99.67999999999984,-936.7573333333316,-167.22372027971983,-476.2839999999993,-415.60922798231076
33,-99.66999999999983,-936.6546249999978,-167.20001835664286,-476.24548437499936,-415.576481165751
34,-99.65999999999983,-936.5518333333313,-167.17629720279672,-476.20693749999936,-415.54371037348733
35,-99.64999999999982,-936.4489583333306,-167.1525568181812,-476.1683593749993,-415.5109156055191
36,-99.63999999999982,-936.3459999999969,-167.12879720279653,-476.1297499999993,-415.478096861846
37,-99.62999999999981,-936.2429583333314,-167.1050183566429,-476.09110937499935,-415.44525414246806
38,-99.6199999999998,-936.1398333333317,-167.08122027971987,-476.05243749999926,-415.4123874473858
39,-99.6099999999998,-936.0366249999976,-167.05740297202746,-476.0137343749992,-415.379496776599
40,-99.5999999999998,-935.9333333333308,-167.03356643356588,-475.9749999999992,-415.34658213010715
41,-99.58999999999979,-935.8299583333305,-167.00971066433493,-475.93623437499923,-415.313643507911
42,-99.57999999999979,-935.7264999999975,-166.985835664335,-475.89743749999917,-415.2806809100103
43,-99.56999999999978,-935.6229583333302,-166.96194143356573,-475.8586093749991,-415.247694336405
44,-99.55999999999977,-935.5193333333317,-166.9380279720277,-475.81974999999915,-415.2146837870946
45,-99.54999999999977,-935.4156249999982,-166.91409527971985,-475.7808593749991,-415.18164926208
46,-99.53999999999976,-935.311833333331,-166.89014335664285,-475.7419374999991,-415.148590761361
47,-99.52999999999976,-935.2079583333306,-166.86617220279643,-475.7029843749991,-415.11550828493677
48,-99.51999999999975,-935.1039999999972,-166.8421818181811,-475.66399999999913,-415.08240183280833
49,-99.50999999999975,-934.9999583333305,-166.81817220279657,-475.62498437499903,-415.0492714049752
50,-99.49999999999974,-934.8958333333302,-166.79414335664268,-475.585937499999,-415.0161170014376
51,-99.48999999999974,-934.7916249999963,-166.7700952797194,-475.54685937499903,-414.982938622195
52,-99.47999999999973,-934.6873333333298,-166.74602797202718,-475.50774999999896,-414.94973626724817
53,-99.46999999999973,-934.5829583333312,-166.72194143356597,-475.46860937499895,-414.91650993659664
54,-99.45999999999972,-934.478499999997,-166.69783566433497,-475.42943749999887,-414.8832596302401
55,-99.44999999999972,-934.3739583333307,-166.67371066433503,-475.39023437499884,-414.8499853481794
56,-99.43999999999971,-934.2693333333301,-166.6495664335657,-475.35099999999886,-414.81668709041384
57,-99.42999999999971,-934.1646249999968,-166.6254029720272,-475.3117343749989,-414.78336485694393
58,-99.4199999999997,-934.0598333333301,-166.6012202797195,-475.2724374999988,-414.7500186477689
59,-99.4099999999997,-933.9549583333297,-166.57701835664244,-475.23310937499883,-414.71664846288957
60,-99.3999999999997,-933.8499999999975,-166.55279720279665,-475.19374999999883,-414.6832543023059
61,-99.38999999999969,-933.7449583333301,-166.52855681818104,-475.15435937499876,-414.6498361660174
62,-99.37999999999968,-933.6398333333301,-166.5042972027965,-475.1149374999987,-414.61639405402394
63,-99.36999999999968,-933.5346249999966,-166.48001835664255,-475.0754843749987,-414.5829279663263
64,-99.35999999999967,-933.4293333333295,-166.45572027971943,-475.03599999999875,-414.5494379029238
65,-99.34999999999967,-933.3239583333298,-166.43140297202714,-474.99648437499866,-414.5159238638166
66,-99.33999999999966,-933.2184999999957,-166.4070664335655,-474.9569374999987,-414.4823858490051
67,-99.32999999999966,-933.112958333329,-166.38271066433467,-474.9173593749987,-414.44882385848865
68,-99.31999999999965,-933.0073333333286,-166.35833566433465,-474.87774999999874,-414.41523789226795
69,-99.30999999999965,-932.9016249999963,-166.3339414335657,-474.8381093749986,-414.381627950342
70,-99.29999999999964,-932.7958333333298,-166.30952797202715,-474.79843749999867,-414.3479940327121
71,-99.28999999999964,-932.6899583333297,-166.28509527971943,-474.75873437499865,-414.3143361393776
72,-99.27999999999963,-932.5839999999962,-166.26064335664256,-474.71899999999863,-414.2806542703378
73,-99.26999999999963,-932.4779583333292,-166.23617220279627,-474.67923437499854,-414.2469484255938
74,-99.25999999999962,-932.3718333333286,-166.21168181818084,-474.63943749999856,-414.2132186051455
75,-99.24999999999962,-932.2656249999953,-166.18717220279623,-474.5996093749985,-414.17946480899235
76,-99.23999999999961,-932.15933333333,-166.16264335664266,-474.55974999999853,-414.14568703713394
77,-99.2299999999996,-932.0529583333297,-166.13809527971952,-474.5198593749985,-414.11188528957183
78,-99.2199999999996,-931.9464999999959,-166.113527972027,-474.4799374999984,-414.0780595663048
79,-99.2099999999996,-931.8399583333294,-166.08894143356548,-474.4399843749984,-414.04420986733265
80,-99.19999999999959,-931.7333333333286,-166.0643356643346,-474.39999999999844,-414.01033619265644
81,-99.18999999999959,-931.626624999995,-166.03971066433456,-474.3599843749984,-413.97643854227556
82,-99.17999999999958,-931.5198333333279,-166.01506643356512,-474.3199374999984,-413.94251691619013
83,-99.16999999999958,-931.4129583333282,-165.99040297202674,-474.27985937499835,-413.90857131439964
84,-99.15999999999957,-931.3059999999941,-165.965720279719,-474.2397499999983,-413.87460173690494
85,-99.14999999999957,-931.1989583333288,-165.94101835664227,-474.1996093749983,-413.8406081837055
86,-99.13999999999956,-931.0918333333285,-165.91629720279616,-474.15943749999826,-413.80659065480177
87,-99.12999999999955,-930.9846249999955,-165.8915568181807,-474.11923437499826,-413.7725491501928
88,-99.11999999999955,-930.8773333333282,-165.86679720279605,-474.0789999999982,-413.7384836698794
89,-99.10999999999954,-930.7699583333282,-165.84201835664223,-474.03873437499817,-413.7043942138615
90,-99.09999999999954,-930.6624999999946,-165.817220279719,-473.99843749999815,-413.67028078213883
91,-99.08999999999953,-930.5549583333276,-165.79240297202665,-473.9581093749982,-413.6361433747117
92,-99.07999999999953,-930.4473333333285,-165.76756643356532,-473.91774999999814,-413.60198199158
93,-99.06999999999952,-930.3396249999952,-165.74271066433462,-473.87735937499815,-413.56779663274375
94,-99.05999999999952,-930.2318333333284,-165.71783566433453,-473.83693749999816,-413.5335872982027
95,-99.04999999999951,-930.1239583333281,-165.69294143356527,-473.79648437499804,-413.4993539879568
96,-99.03999999999951,-930.0159999999943,-165.66802797202664,-473.755999999998,-413.4650967020068
